acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,time_elapsed,rocket_state,rssi,signal_to_noise
-89,980,102,700,-1610,-490,371,1,-71,11.0
-90,980,100,630,-1260,-350,372,1,-78,11.0
-90,980,101,700,-1680,-490,373,1,-77,11.0
-90,981,101,700,-1400,-420,374,1,-80,11.0
-89,979,100,770,-1470,-490,375,1,-77,11.0
-89,980,101,700,-1400,-490,376,1,-78,11.0
-90,980,101,700,-1610,-420,377,1,-80,10.0
-89,979,102,700,-1330,-630,378,1,-79,11.0
-89,980,101,770,-1470,-490,379,1,-75,10.0
-89,980,101,770,-1540,-490,380,1,-78,10.0
-89,981,101,770,-1470,-560,381,1,-77,11.0
-88,980,102,770,-1540,-560,382,1,-75,11.0
-89,981,102,700,-1470,-490,383,1,-75,10.0
-88,980,101,630,-1470,-490,384,1,-75,11.0
-89,980,101,700,-1400,-490,385,1,-76,11.0
