acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,time_elapsed,rocket_state,rssi,signal_to_noise
-786,481,-35,0,-1190,-3780,25,1,-79,-9.0
-680,347,658,-6580,-9940,770,9,1,-76,1.0
-220,66,981,-7070,-15050,-210,11,1,-69,8.0
-9,-109,1015,1960,350,350,12,1,-70,5.0
20,-57,1020,70,-2730,-420,13,1,-69,5.0
8,-21,1019,840,-1330,-980,5,1,-66,9.0
-1,-30,1016,910,280,-840,9,1,-78,2.0
29,-43,1020,560,-1400,-560,9,1,-89,9.0
18,-69,1020,770,-1400,-910,14,1,-79,-2.0
23,-67,1020,700,-1190,-980,15,1,-85,2.0
25,-63,1020,910,-1750,0,16,1,-82,3.0
18,-56,1019,630,-1470,-210,17,1,-81,3.0
40,-43,1023,490,-1470,-420,18,1,-83,7.0
18,-72,1020,910,-1470,-280,9,1,-78,9.0
28,-50,1020,700,-1610,-560,9,1,-68,10.0
