acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,time_elapsed,rocket_state,rssi,signal_to_noise
-66,-997,78,840,-980,-840,1,1,-15,10.0
-52,-1009,83,-70,-2310,-1120,2,1,-15,11.0
-59,-1003,81,1120,-1610,-1050,3,1,-15,10.0
-51,-1003,72,1820,-1190,-1050,4,1,-16,11.0
-45,-1013,72,-1890,-2380,-1260,5,1,-15,11.0
-45,-1009,66,1400,-210,1120,6,1,-16,11.0
-41,-1008,74,560,-1890,-1470,7,1,-16,11.0
-38,-1001,85,-280,-2100,-560,8,1,-16,11.0
-42,-1014,74,70,-700,-980,9,1,-16,11.0
-35,-1008,71,1050,-1400,-420,10,1,-15,11.0
-44,-998,61,-140,-1400,-70,11,1,-15,11.0
-37,-1007,70,1260,-1750,-1680,12,1,-16,11.0
-51,-1014,52,4620,-3150,-5810,13,1,-16,11.0
-20,-1009,77,840,-980,140,14,1,-16,11.0
-30,-1013,60,-280,280,2240,15,1,-16,12.0
-28,-1011,106,1470,-1050,-280,16,1,-16,11.0
-28,-1006,78,-280,0,-1470,17,1,-16,11.0
-22,-1020,91,-2800,-1190,1190,18,1,-16,11.0
-41,-1014,71,2240,-840,840,19,1,-16,11.0
-23,-1004,69,1330,-210,1890,20,1,-16,10.0
-34,-1005,68,1120,-1750,-2100,21,1,-16,11.0
-26,-1009,78,1890,-1610,-1680,22,1,-16,11.0
-19,-1009,82,280,-1190,-1190,23,1,-16,11.0
-17,-1016,72,420,-980,-350,24,1,-16,11.0
-11,-1007,74,-420,-1610,-420,25,1,-16,11.0
-16,-1007,79,2100,-490,-350,26,1,-16,11.0
-22,-995,80,700,-1330,-280,27,1,-16,11.0
-20,-1012,83,2240,-980,140,28,1,-16,11.0
-32,-1013,73,630,-2240,-70,29,1,-16,11.0
-28,-1008,84,420,-560,-560,30,1,-16,11.0
-26,-1002,85,-140,-2240,-770,31,1,-16,12.0
-20,-1006,72,280,-770,1610,32,1,-16,11.0
-26,-1008,78,1960,-700,-1190,33,1,-16,12.0
-24,-1007,75,-280,-2450,-1470,34,1,-16,11.0
-21,-1003,68,1540,-2240,-350,35,1,-16,12.0
-23,-1011,82,420,-840,-210,36,1,-16,11.0
-22,-1002,84,1960,-980,-1050,37,1,-16,12.0
-22,-1006,80,3080,-630,-210,38,1,-16,12.0
-8,-1017,69,630,-1610,490,39,1,-18,12.0
-26,-1006,84,210,-1750,-770,40,1,-17,11.0
-26,-996,88,560,-1540,-420,41,1,-17,11.0
-11,-1013,77,1330,-2380,-840,42,1,-16,11.0
20,-1012,103,560,3010,-3290,43,1,-16,11.0
-34,-1010,74,2240,-2030,-4620,44,1,-16,11.0
-33,-985,11,11550,-1470,-2520,45,1,-16,10.0
3,-996,69,5950,980,420,46,1,-15,11.0
-12,-1000,85,-910,140,560,47,1,-15,11.0
-17,-1013,84,4550,560,2170,48,1,-15,11.0
5,-1024,49,4760,-350,-3220,49,1,-14,11.0
-7,-1039,107,-3850,3640,1470,50,1,-13,12.0
-7,-1007,82,15960,4270,-2520,51,1,-14,11.0
-151,-774,755,219240,70210,-17710,52,1,-28,11.0
138,-711,1148,-157570,-19950,21560,54,3,-30,10.0
310,-852,957,17990,7280,9590,56,3,-24,11.0
355,-867,709,79590,33390,26040,57,3,-35,11.0
-882,-460,175,700,-1120,1190,1,1,-25,11.0
-866,-462,174,0,420,420,2,1,-25,11.0
