acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,time_elapsed,rocket_state,rssi,signal_to_noise
-111,183,996,770,-1470,-560,228,6,-33,11
-109,182,993,700,-1400,-490,229,6,-33,11
-111,185,995,770,-1470,-490,230,6,-33,10
-112,177,996,910,-1540,-420,231,6,-33,11
-112,185,993,700,-1400,-420,232,6,-33,11
-110,181,995,840,-1400,-560,233,6,-33,11
-109,185,994,770,-1470,-490,234,6,-34,11
-111,186,992,770,-1470,-490,235,6,-33,10
-110,184,993,770,-1470,-490,236,6,-33,11
-111,181,993,630,-1400,-490,237,6,-34,11
-111,183,994,700,-1470,-490,238,6,-34,10
-111,182,994,770,-1400,-490,239,6,-34,11
-110,182,993,770,-1470,-490,240,6,-34,10
-110,184,993,770,-1470,-420,241,6,-34,11
-112,184,993,700,-1400,-490,242,6,-34,11
-110,183,994,700,-1400,-490,243,6,-34,11
-111,182,993,840,-1400,-490,244,6,-32,11
-110,185,993,770,-1470,-420,245,6,-34,12
-110,184,994,770,-1400,-490,246,6,-34,12
-110,182,995,770,-1470,-490,247,6,-34,11
-111,184,994,700,-1400,-560,248,6,-32,11
-114,177,994,700,-1400,-490,249,6,-33,11
-113,185,993,630,-1330,-490,250,6,-32,11
-104,180,998,770,-1540,-490,252,6,-33,11
-109,182,994,770,-1470,-490,253,6,-34,11
-111,180,993,840,-1470,-490,254,6,-34,11
-111,182,993,700,-1470,-490,255,6,-33,11
-111,184,993,700,-1400,-420,256,6,-32,11
-112,182,993,700,-1400,-560,257,6,-33,11
-111,184,993,770,-1470,-490,260,6,-31,11
-113,185,992,770,-1400,-420,261,6,-32,11
-110,185,994,840,-1540,-490,262,6,-32,11
-110,183,994,700,-1470,-490,264,6,-32,11
-109,187,993,770,-1470,-490,265,6,-32,11
-110,184,994,770,-1470,-490,268,6,-31,11
-110,184,993,840,-1470,-490,269,6,-32,11
-110,186,993,700,-1400,-560,270,6,-32,11
-111,183,993,700,-1470,-490,271,6,-32,11
-111,184,993,700,-1470,-490,273,6,-32,11
-111,183,994,700,-1540,-490,274,6,-31,11
-110,184,993,630,-1470,-490,275,6,-31,11
-111,183,993,770,-1470,-560,276,6,-31,11
-110,183,994,770,-1400,-490,277,6,-31,11
-110,183,993,700,-1470,-490,278,6,-31,11
-112,182,993,770,-1540,-420,279,6,-32,11
-111,183,993,770,-1540,-490,280,6,-32,11
-110,184,993,840,-1470,-560,281,6,-32,12
-110,184,992,700,-1470,-490,283,6,-32,11
-110,182,994,700,-1400,-560,285,6,-32,11
-110,182,994,770,-1330,-490,287,6,-32,11
-110,183,992,770,-1470,-490,289,6,-32,11
-111,183,993,700,-1470,-490,290,6,-32,11
-111,182,993,700,-1470,-490,291,6,-32,11
-111,181,993,700,-1470,-490,292,6,-32,11
-110,185,994,770,-1540,-420,294,6,-33,11
-110,184,993,770,-1470,-490,295,6,-34,11
-110,183,993,770,-1470,-490,296,6,-34,10
-110,188,991,700,-1400,-350,297,6,-34,10
-111,185,991,700,-1400,-490,298,6,-35,11
-111,186,992,770,-1400,-420,299,6,-36,11
-110,177,998,770,-1470,-630,300,6,-36,11
-109,182,994,700,-1400,-490,301,6,-36,11
-111,183,994,770,-1470,-490,302,6,-35,11
-112,179,992,630,-1470,-350,303,6,-36,11
-114,182,991,770,-1470,-420,304,6,-36,11
-111,181,991,700,-1540,-630,305,6,-34,12
-111,183,994,770,-1470,-560,307,6,-37,11
-111,180,985,700,-1470,-840,308,6,-37,11
-111,184,992,630,-1400,-420,309,6,-36,11
-111,187,993,700,-1470,-420,310,6,-34,11
-110,184,993,700,-1400,-560,311,6,-36,11
-110,183,994,700,-1470,-490,312,6,-36,11
-110,182,994,700,-1470,-490,313,6,-34,11
-111,183,993,770,-1470,-560,314,6,-34,10
-109,187,995,700,-1470,-490,316,6,-34,11
-111,182,992,770,-1400,-420,317,6,-35,11
-111,183,994,770,-1400,-490,318,6,-35,11
-114,182,994,700,-1470,-490,319,6,-35,11
-110,184,994,770,-1470,-490,320,6,-35,11
-111,183,994,770,-1470,-420,321,6,-35,11
-111,182,994,700,-1470,-420,322,6,-35,11
-111,191,992,910,-1610,-700,323,6,-36,11
-110,187,982,630,-1260,-420,324,6,-36,11
-110,185,992,700,-1400,-490,325,6,-35,11
-112,188,991,700,-1400,-490,326,6,-32,11
-111,183,993,700,-1470,-490,327,6,-33,11
-111,180,991,770,-1470,-490,328,6,-33,11
-110,173,1004,700,-1610,-560,329,6,-33,11
-111,176,989,840,-1330,-630,330,6,-37,12
