acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,time_elapsed,rssi,signal_to_noise
148,42,1013,1050,-2660,-560,0,-28,11
143,48,1009,1400,-3780,-1120,1,-29,11
140,45,1001,-1120,490,0,0,-28,11
148,30,1010,490,-630,-280,1,-28,11
154,32,1006,630,-490,-420,2,-28,11
152,28,1021,-1610,4130,-210,4,-28,11
138,24,1022,2450,-10780,-2100,6,-28,11
161,23,1035,2520,-420,420,8,-28,10
116,14,989,-1190,6160,420,9,-29,11
117,8,992,8680,-18130,-210,10,-29,11
110,19,983,3080,-4830,-350,11,-28,10
149,9,1014,7280,-27930,-4480,12,-28,11
157,32,1010,700,-1610,-490,14,-30,10
157,29,996,1190,-1050,-210,15,-31,11
185,229,1249,-102690,54180,-33670,16,-22,12
-93,-217,957,-3080,-140,-1960,18,-23,11
-83,-152,989,-1330,1260,-1400,20,-24,11
-93,-2,1050,8960,-8260,14700,23,-27,11
38,71,1017,560,-1190,-280,26,-30,11
47,71,1016,910,-1610,-420,28,-41,11
47,73,1018,630,-1610,-280,29,-33,11
49,73,1017,840,-1820,-350,30,-45,8
52,71,1018,910,-1190,-350,31,-39,11
52,70,1016,490,-980,-490,32,-38,11
54,73,1017,770,-1610,-490,33,-40,10
60,67,1013,1050,-2870,-630,34,-33,11
58,72,1018,840,-1750,-490,35,-38,11
57,73,1019,840,-2240,-630,36,-36,10
58,74,1013,980,-1190,-420,37,-36,11
59,73,1018,910,-2100,-560,38,-37,11
56,72,1013,420,-1120,-420,39,-32,11
58,73,1015,840,-1610,-420,40,-32,11
72,63,996,-4620,-630,-630,41,-41,10
61,72,1016,840,-1470,-420,42,-47,11
60,71,1011,1050,-2100,-420,43,-38,11
62,73,1017,630,-1190,-490,45,-31,10
59,74,1019,630,-1470,-420,46,-34,10
58,70,1012,-210,-770,-840,47,-29,11
132,187,995,15190,7140,18620,48,-24,11
-109,158,1166,23380,21770,-37590,49,-33,11
103,151,1004,700,-1680,-560,51,-31,11
106,151,1004,840,-1960,-560,52,-34,11
108,153,1002,770,-1750,-490,53,-33,11
110,151,1003,770,-1540,-490,54,-33,11
110,150,1003,770,-1750,-560,55,-34,11
111,151,1002,910,-1890,-490,56,-37,11
110,149,1004,980,-1400,-490,57,-41,10
111,150,1002,560,-1190,-490,58,-40,10
111,152,1003,840,-1750,-420,59,-41,10
114,153,1002,840,-1750,-490,60,-36,11
113,149,1002,700,-1260,-700,61,-41,10
114,149,1003,490,-840,-350,62,-38,10
113,149,1002,630,-1330,-420,63,-38,10
115,150,1001,700,-1400,-490,64,-38,11
113,150,1001,980,-2030,-420,65,-40,11
-437,-43,892,-4970,81970,-7980,67,-34,12
-691,-119,741,1260,-2590,-630,69,-34,11
-697,-125,734,-700,3010,-2800,70,-34,10
-706,-133,722,-630,1190,-1540,71,-33,11
-721,-139,715,1820,-4340,1190,74,-34,11
